attribute,max,min,mean,variance
a,5,3,4.216,0.9533440000000001
b,6,0,1.8584615384615384,0.63058224852071
c,3,0,1.549076923076923,0.2720529940828403
d,8,-2,-0.018307692307692306,1.2644340591715977
e,8,-2,-0.13130769230769232,1.42929675147929
f,8,-2,-0.16665384615384615,1.4198034186390533
g,8,-2,-0.21607692307692308,1.3700799940828403
h,8,-2,-0.2655769230769231,1.2793535133136096
i,8,-2,-0.28946153846153844,1.3151350946745564
j,16195,4305,7281.844423076923,3564913.385603514
k,800000,10000,167693.83384615384,16789635250.84009
l,746814,-165580,51499.240423076924,5400029386.159158
m,743970,-69777,49416.01869230769,5039006688.561882
n,1664089,-157264,47346.50796153846,4835746145.50086
o,706864,-81334,43724.75861538461,4137120651.1618876
p,823540,-81334,40532.02376923077,3687423090.693666
q,568638,-209051,39097.61,3514687993.1606693
r,873552,0,5671.37426923077,281474461.24034566
s,1684259,0,5977.154846153846,569322741.0844842
t,889043,0,5331.5725,302860806.07566684
u,621000,0,4845.287076923077,248742681.9210484
v,426529,0,4792.553846153846,232145579.42102367
w,527143,0,5194.856961538461,300903000.27496314
x,1,0,0.22092307692307692,0.17211607100591714
