class,GLCM_pan,Mean_Green,Mean_Red,Mean_NIR,SD_pan,SSE
n,109.8285714,183.7,82.95,251.75,16.0794123,669.5462208326134
n,130.2844828,212.637931,96.89655172,482.3965517,21.21029549,39.62470519874054
n,131.3865546,185.4666667,85.46666667,419.6666667,13.33999833,1091.2880298105592
n,141.345098,180.875,81.5,348.0625,18.21357667,660.9014890972893
w,121.3834081,218.3571429,112.0178571,426.6071429,19.08319594,665.350960567071
n,122.7575758,205.96,86.76,407.68,17.82357989,380.6455273550394
w,124.0102041,215.5945946,117.027027,477.2972973,24.57462807,564.3445934136322
w,125.6084071,209.6491228,121.2280702,443.2807018,25.75731376,709.8268407834539
n,107.7458333,204.1333333,83.46666667,479.8666667,22.95696457,625.6391069208526
n,140.2039216,188.59375,84.4375,457.25,30.19375906,928.6571849848459
n,122.7924528,199.7407407,108.4814815,384.7407407,23.01890587,442.3736758379446
n,117.427907,191.1851852,86.55555556,429.7037037,24.76556749,556.0094399809676
n,130.9663568,256.3521127,166.6830986,506.9647887,18.46224239,1167.833018006418
n,132.6788212,259.1269841,170.3412698,519.9126984,23.55045831,2123.7142276344393
n,132.6788212,259.1269841,170.3412698,519.9126984,23.55045831,2123.7142276344393
n,133.7529762,179.7142857,85.23809524,387.8095238,19.73222097,474.20091609310066
w,116.9489529,214.5625,127.75,390.2083333,23.07050636,1829.858869975811
w,116.9489529,214.5625,127.75,390.2083333,23.07050636,1829.858869975811
n,136.4417989,214.0416667,115.25,579.4166667,17.01041348,622.360482338117
w,125.0748032,254.8125,147.5,388.25,20.22442444,466.8735598127124
n,144.1078067,186.9411765,77.35294118,468.4117647,20.46839069,1216.032741630844
w,121.0942029,219.4230769,122.4230769,536,30.7144705,835.6879267403195
n,136.5666667,196.3888889,86.66666667,364.6666667,24.78437879,790.192582736181
n,115.8912281,220.3333333,103.4722222,588.3611111,25.09148385,610.4964042554768
w,132.5069444,206.3703704,109.2592593,532.962963,28.78142405,332.88872193240036
n,121.0646688,189.125,92.575,289.975,14.14204724,760.8580268368434
w,138.3922652,200.2352941,103.2941176,431.4117647,22.16531159,278.34952811063937
n,124.08,219.1590909,98.25,638.0681818,22.00022305,466.97504231457606
n,139.5067485,231.1568627,105.8235294,780.7843137,27.49605543,1250.6169707678487
n,99.15972222,241.2222222,116.7777778,644.2222222,34.62818377,908.3715518349456
n,142.8863636,196,86,408,23.26562392,514.3464978819844
n,115.4145861,248.3854167,119.71875,695.1666667,16.55538041,568.3978777965011
n,126.4508929,170.7142857,70.21428571,251.9285714,27.89448047,739.8446934174098
n,116.1842105,185.28,77.58,414.18,37.86887376,1234.1620240070179
n,127.3010417,202.5666667,112.2333333,390.6,19.31449513,552.5850018575314
w,131.2553846,188.8433735,95.21686747,246.4578313,12.9995701,609.8690099102948
n,120.9151786,194.2857143,86,364.8571429,28.25440186,816.2438244103336
n,132.0470325,173.0877193,72.15789474,230.3684211,10.49943937,1642.9695451053337
n,113.4296482,178.52,78.96,209.48,8.50449293,1283.355786562565
w,139.4305556,200.5555556,111.1111111,484.2222222,24.51303508,447.75334110497084
w,126.8205128,203.244898,107.1020408,435.4081633,19.46005852,203.2929808702039
w,128.1207658,196.3023256,111.3953488,345.1860465,17.70196751,668.719720972785
n,141.8242188,220.875,101.8125,784.5,36.68696763,1856.950151043844
n,131.6105442,208.7567568,93.91891892,596.4054054,27.19832204,437.0280875344115
n,132.0265096,244.0697674,123.2325581,703.9302326,23.60163803,399.35936674120165
n,138.5376176,204.225,103.675,343.4,27.87372194,526.1439868814228
w,131.8457944,184.9705882,91.42647059,307.3235294,15.18652768,862.872256954335
n,136.7425432,190.6875,81.85,338.6,19.53598843,166.49777265456797
n,113.2250923,213.2352941,106.2941176,501.3529412,16.60283046,800.9878450077514
w,119.6692913,200.5,104,328.25,14.75211849,410.54886524498863
n,116.0950783,185.0535714,81.05357143,344.625,19.46463794,471.9943451360331
w,130.5940594,188.8421053,99.73684211,314,15.05403472,597.9778838658808
w,130.3398414,211,110.815534,616.9805825,22.95875313,263.603239057197
w,112.8675497,207.3684211,117.8947368,544.1578947,24.35995078,1065.2831491423387
n,129.10625,171.1,66.6,225.2,19.1039263,2203.9690325817196
n,134.9041667,212.4666667,92.4,633.2666667,30.30174179,775.3165548266217
n,115.4009662,205.8846154,89.57692308,397.5,22.93833385,248.27580470791716
n,113.96521,216.4797297,100.2567568,507.0945946,25.83007188,415.23452996958406
w,131.140625,206.6875,107.0625,561.1875,29.75498908,234.6296590143455
n,139.0142857,183.2727273,78.77272727,365.5909091,15.50159949,1215.9742606340694
w,113.9635417,195.0555556,106.5833333,303.7222222,24.09158195,1440.1675329777997
n,122.7918437,192.2702703,78.75675676,314.2702703,19.13395648,523.599566726238
w,136.1621622,189.5714286,99.57142857,331.5714286,15.59042092,251.74532907642694
w,118.1553229,176.8611111,87.55555556,262.0833333,21.75301526,323.80889574257685
w,132.325,203.6,120.68,378.32,24.0028665,1179.6933738667535
n,142.8647059,185.3125,77.5625,363.75,16.21908116,1362.149976227258
n,112.67621,226.6195652,103.2608696,857.9130435,29.83076082,2199.0904984326994
w,128.6824324,222.3928571,131.0714286,448.0714286,24.36143657,1592.8458036405902
n,137.8736842,180.8333333,75.0625,369.75,21.95330232,1114.343913308503
n,108.1344538,199.3333333,107.0666667,253,20.50907658,1505.5202969473467
n,129.24375,189.75,80.3,268.1,25.52307779,88.76619050763242
w,117.8786765,175.5294118,83.88235294,188.2941176,17.01576716,835.2552640585085
n,136.9319853,174.6470588,75.79411765,268.2352941,13.46789082,231.6268263741169
n,144.0801394,200.4444444,87.77777778,441.3888889,23.02387381,337.15122159840985
w,119.4798206,191.9285714,105.7380952,331.952381,22.49178484,403.02880228766844
n,132.9343066,218.9534884,96.41860465,677.6046512,22.5968979,466.2406074528649
n,114.50625,219.6,96.7,910.8,20.97832214,2398.231800491569
n,136.866242,223.8983051,101.6779661,711.1186441,22.41252266,344.33138239959555
w,136.3557692,221.1538462,117,672.1538462,16.63104675,626.2328003094209
n,125.828125,211.125,94.6875,508.1875,14.85713213,370.64271944226624
w,133.4033784,183.3870968,94.92473118,292.6021505,18.9325436,856.8606053450416
w,121.546875,178.5,82.5,374.5,20.0869205,840.2175429318269
n,129.58413,168.4242424,72.57575758,184.9090909,11.08984305,1487.2321212287006
w,132.0631579,188.6666667,97.2,262.8,12.13095215,279.0553372607629
n,118.1464738,176.3714286,79.92857143,219.2571429,14.6531671,1619.4090526647783
w,124.6289474,189.4166667,99.04166667,347.3333333,24.65339592,375.11138421993337
w,118.1692825,238.625,156.875,529.4107143,19.6485706,2342.4268459554987
w,123.2474645,202.2741935,110.483871,460.2258065,18.71215223,741.2128361573833
n,121.6354167,186,83.83333333,482.3333333,15.12631996,830.5904437547697
w,135.1648936,203.8055556,114.6388889,391.1111111,12.83402475,816.0261934957201
w,129.9245283,214.1,124.1,452.6333333,14.29778538,1155.8699365841258
n,113.8019324,202.6923077,91.07692308,577.2307692,37.29016242,594.1596377693822
w,138.3977273,210.9090909,114.3636364,637.5454545,24.68432935,896.4930557491087
n,111.8917749,227.0689655,105.5862069,602.3448276,20.10442418,380.6434536274134
n,109.8671329,208.5555556,94.38888889,716.0555556,26.68292329,1215.5031465572852
n,127.2515723,209.15,92.975,496.425,18.74939999,295.1789223417923
w,129.8480204,204.122449,110.6938776,418.244898,23.12530378,712.4532496808519
n,113.6688103,206.6153846,97.76923077,687.3076923,32.38612782,1263.9815265683226
n,122.282967,195.826087,85,442.6521739,29.58547899,308.1947097029098
n,120.9621212,225.7931034,99.98275862,731.0517241,23.09945925,729.6313193626557
w,131.2760417,192.75,98.41666667,431.8333333,20.13909962,301.64400027458817
n,133.7542614,198.6931818,86.14772727,549.0681818,29.50805325,783.5719936540809
n,137.334127,187.2531646,75.55696203,299.4810127,17.52136517,1157.838328911445
n,118.7304786,171.8,74.2,231.6,13.60505788,1665.018880972075
w,127,179.4,82.6,245.88,13.4339272,512.2954184035196
n,141.5606695,178.0333333,72.6,227.8,18.80806565,1796.1164524460744
w,118.7477273,199.3928571,121.8928571,425.7857143,22.47614949,1070.5907079960723
w,135.1086538,232.1538462,137.5230769,545.7230769,24.53084521,882.2821576723867
w,116.628692,232.3333333,149.6,530.6333333,22.20532969,2039.3682608598983
w,126.7958057,204.4561404,110.4912281,370.2982456,16.44017855,960.6267249845998
n,126.7063037,194.5227273,95.11363636,337.1136364,10.86056918,171.44249279925828
w,107.0446429,212.4761905,125.3809524,464.7619048,21.26253132,1699.2307732758868
w,131.2481203,209.72,143.64,410.16,15.3123349,2105.3896454842693
w,122.3734043,207.9491525,117.2711864,532.8474576,26.87721985,520.2132878932896
w,124.0222222,205.4318182,135.1022727,411.2954545,16.42098536,2489.450381822071
w,128.8066915,183.8823529,96.17647059,369.5882353,16.43883494,818.9148099749808
w,140.6702586,197.2068966,116.9310345,361.6206897,15.92282219,1761.0873504212275
w,132.186551,205.2413793,114.6551724,491.5172414,17.21266575,590.4527190246718
w,124.2834646,210.75,124.5,556.25,18.38806933,987.2391309344141
w,126.4571226,207.5955056,110.4606742,446.1235955,23.71210889,280.8147869481467
w,132.7681564,201.3777778,110.0222222,483.7555556,22.67411642,312.76372135103173
w,135.6746231,188.98,101.98,329.99,17.85854137,299.37015292151085
w,130.3920455,220.6060606,114.7575758,610.1212121,25.92990481,181.90738103796926
n,118.2348485,159.2,70.88,224.44,16.6997006,2810.133065643088
n,129.2234043,226.7457627,102.6949153,674.5084746,26.14331922,279.3739750057416
n,125.9456067,173.5333333,79.13333333,386.3333333,12.33135119,949.721441522605
n,123.2146597,176.6666667,82.5,280.3333333,14.86303207,341.53550666031646
n,126.0198864,186.1818182,79.90909091,359.5909091,16.30165027,890.2178133389474
n,133.7270115,176.3181818,77,276.1363636,13.21031403,239.7661839115083
w,126.8116279,190.5555556,100.8518519,307.0740741,18.02535937,893.0124009122235
n,101.0346821,190.0909091,80.81818182,319.3636364,23.77303146,1079.841784940065
n,128.9846678,208.5945946,96.51351351,715.3243243,18.38739842,956.3850331958453
n,115.6785714,186.1428571,76.42857143,351.5714286,30.35840334,833.3112670995108
w,120.9812109,216.5,121.6666667,656.8666667,25.89328527,492.9130483724514
n,143.4582245,191.9166667,79.77083333,353.9166667,18.09230768,736.0348381188161
n,115.6571429,203.7272727,84.31818182,551.9545455,21.99929563,720.7572512140478
w,132.6560748,160.0294118,73.41176471,279,12.24296281,948.7032673743347
w,125.5356522,193.2876712,112.3287671,339.8219178,15.30558189,657.1078401452181
w,128.393617,211.4666667,119.3666667,530.8333333,12.2122434,722.2643933989891
w,115.5427975,205.2333333,124.1333333,408.0333333,15.10294305,1763.6388272320164
w,126.3706177,212.5789474,127.9473684,546.3157895,18.98118328,1486.422911281397
n,127.0167526,207.244898,97.67346939,420.5918367,16.11818595,442.9909794408573
n,114.7521008,186.8666667,81.86666667,518.3333333,20.55834516,1193.5517674364553
n,123.0756303,204,88,449,10.19716736,381.4264776492035
n,125.101833,181.2258065,76.64516129,321.7419355,21.77856587,518.7773661770161
n,141.2159468,178.3421053,78.42105263,309.8157895,18.32229165,1141.7081307278615
w,113.6473214,222.4285714,149.8571429,530.7142857,34.42093869,2589.3367513573803
n,106.359375,198.8333333,89.16666667,609.3333333,16.68498993,1203.872718501021
w,137.6432039,204.9230769,111.0769231,512.9230769,21.0960399,518.644167381559
n,140.2080645,197.7179487,81.41025641,535.8717949,25.72930955,908.9151410270575
n,122.2115978,210.254902,93.30392157,439.7058824,24.00887515,57.11885184649003
w,120.3958042,226.6333333,126.6,659.5888889,22.56439072,702.3012332960642
w,132.9739264,195.5853659,113.6585366,392.8780488,22.42210391,634.8930557221191
n,110.8072917,188.6666667,77.5,446.5,18.705874,1053.2301866433247
