State,City,College,Allocation_Subcategory,Gift_Allocation,Major,Gift_Amount
CO,Denver,College of Natural Science,College of Natural Science,Scholarship,Biological Science Interdepartmental,5088
CA,San Francisco,College of Social Science,College of Natural Science,Scholarship,Human Development and Family Studies,3793
CA,Los Angeles,College of Business,Minority Scholarship Fund,Scholarship,Accounting,2952
AZ,Mesa,College of Natural Science,College of Communication Arts and Sciences,Scholarship,Mathematics,2872
UT,West Valley City,College of Social Science,Diversity Fund,Endowment,Psychology,2022
UT,West Valley City,College of Social Science,University Annual Fund,Endowment,Psychology,7234
FL,Orlando,College of Engineering,College of Arts and Sciences,Scholarship,Materials Science and Engineering,173
FL,Orlando,College of Engineering,Alumni Association,Campus Resource,Materials Science and Engineering,368
VA,Richmond,College of Agriculture and Natural Resources,Alumni Association,Campus Resource,Fisheries and Wildlife,681
VA,Richmond,College of Agriculture and Natural Resources,Alumni Association,Campus Resource,Fisheries and Wildlife,1758
MI,Detroit,College of Political Science,Faculty Chair Endowments,Endowment,Social Relations and Policy,6862
MI,Detroit,College of Political Science,Parents Association,Campus Resource,Social Relations and Policy,13784
MI,Detroit,College of Political Science,College of Arts and Sciences,Scholarship,Social Relations and Policy,26590
MI,Detroit,College of Political Science,Campus Museums,Campus Resource,Social Relations and Policy,28838
GA,Atlanta,College of Social Science,College of Arts and Sciences,Scholarship,Interdisciplinary Studies in Social Science - Social Science Education,784
CA,Los Angeles,College of Arts and Sciences,University Annual Fund,Endowment,Art History and Visual Culture,5619
IN,Indianapolis,College of Communication Arts and Sciences,Minority Scholarship Fund,Scholarship,Media and Information,5686
NV,Henderson,College of Communication Arts and Sciences,Campus Museums,Campus Resource,Media and Information,373
AZ,Phoenix,College of Political Science,College of Social Science,Scholarship,Political Theory and Constitutional Democracy,7285
MO,Kansas City,College of Social Science,Faculty Chair Endowments,Endowment,Geographic Information Science,2209
NH,Manchester,College of Natural Science,Parents Association,Campus Resource,Computational Mathematics,8877
CA,Los Angeles,College of Education,College of Arts and Sciences,Scholarship,Education,6757
WA,Seattle,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Agribusiness Management,2585
KY,Lexington,College of Political Science,College of Social Science,Scholarship,College of Political Science,888
