stop_no,name,city,bay_no,on_street,at_street,latitude,longitude,routes,api_url
50033,EB W HASTINGS ST NS HORNBY ST,VANCOUVER,N,W HASTINGS ST,HORNBY ST,49.286709,-123.116234,,https://api.translink.ca/rttiapi/v1/stops/50033?apikey=UZ8AVBpGYUDC0kUB58zj
50276,EB W 10 AVE FS SASAMAT ST,VANCOUVER,N,W 10 AVE,SASAMAT ST,49.263764,-123.208525,009;014;099;N17,https://api.translink.ca/rttiapi/v1/stops/50276?apikey=UZ8AVBpGYUDC0kUB58zj
50530,BURRARD STN BAY 7,VANCOUVER,7,BURRARD STN,BAY 7,49.285361,-123.119463,,https://api.translink.ca/rttiapi/v1/stops/50530?apikey=UZ8AVBpGYUDC0kUB58zj
50875,BROADWAY-CITY HALL STN BAY 1,VANCOUVER,1,BROADWAY-CITY HALL STN,BAY 1,49.263107,-123.114283,,https://api.translink.ca/rttiapi/v1/stops/50875?apikey=UZ8AVBpGYUDC0kUB58zj
50880,EB E BROADWAY NS KINGSWAY,VANCOUVER,N,E BROADWAY,KINGSWAY ST,49.262778,-123.099816,099;N9,https://api.translink.ca/rttiapi/v1/stops/50880?apikey=UZ8AVBpGYUDC0kUB58zj
50913,COMMERCIAL-BROADWAY STN BAY 5,VANCOUVER,5,COMMERCIAL-BROADWAY STN,BAY 5,49.262416,-123.068750,099,https://api.translink.ca/rttiapi/v1/stops/50913?apikey=UZ8AVBpGYUDC0kUB58zj
50916,WB E BROADWAY FS CLARK DR,VANCOUVER,N,E BROADWAY,CLARK DR,49.262499,-123.078554,009;099;N9,https://api.translink.ca/rttiapi/v1/stops/50916?apikey=UZ8AVBpGYUDC0kUB58zj
50959,WB E HASTINGS ST FS RENFREW ST,VANCOUVER,N,E HASTINGS ST,RENFREW ST,49.281229,-123.044631,N35;R5,https://api.translink.ca/rttiapi/v1/stops/50959?apikey=UZ8AVBpGYUDC0kUB58zj
50978,WB W HASTINGS ST NS GRANVILLE ST,VANCOUVER,N,W HASTINGS ST,GRANVILLE ST,49.285242,-123.113584,R5,https://api.translink.ca/rttiapi/v1/stops/50978?apikey=UZ8AVBpGYUDC0kUB58zj
51374,EB W HASTINGS ST NS GRANVILLE ST,VANCOUVER,N,W HASTINGS ST,GRANVILLE ST,49.285445,-123.114250,R5,https://api.translink.ca/rttiapi/v1/stops/51374?apikey=UZ8AVBpGYUDC0kUB58zj
51381,EB HASTINGS ST NS WILLINGDON AVE,BURNABY,N,HASTINGS ST,WILLINGDON AVE,49.280927,-123.005171,129;130;131;132;160;222;N35;R5,https://api.translink.ca/rttiapi/v1/stops/51381?apikey=UZ8AVBpGYUDC0kUB58zj
51465,WB HASTINGS ST FS WILLINGDON AVE,BURNABY,N,HASTINGS ST,WILLINGDON AVE,49.281119,-123.003957,129;130;131;132;160;222;N35;R5,https://api.translink.ca/rttiapi/v1/stops/51465?apikey=UZ8AVBpGYUDC0kUB58zj
51513,KING EDWARD STN BAY 3,VANCOUVER,3,KING EDWARD STN,BAY 3,49.248866,-123.114707,025,https://api.translink.ca/rttiapi/v1/stops/51513?apikey=UZ8AVBpGYUDC0kUB58zj
51568,WB E KING EDWARD AVE FS FRASER ST,VANCOUVER,N,E KING EDWARD AVE,FRASER ST,49.248724,-123.090591,025,https://api.translink.ca/rttiapi/v1/stops/51568?apikey=UZ8AVBpGYUDC0kUB58zj
51571,WB E KING EDWARD AVE FS MAIN ST,VANCOUVER,N,E KING EDWARD AVE,MAIN ST,49.248868,-123.101632,025,https://api.translink.ca/rttiapi/v1/stops/51571?apikey=UZ8AVBpGYUDC0kUB58zj
51743,NB BOUNDARY RD FS KITCHENER ST,BURNABY,N,BOUNDARY RD,KITCHENER ST,49.272518,-123.023330,028;R5,https://api.translink.ca/rttiapi/v1/stops/51743?apikey=UZ8AVBpGYUDC0kUB58zj
51861,SFU TRANSIT EXCHANGE BAY 1,BURNABY,1 ,SFU TRANSIT EXCHANGE,BAY 1,49.278518,-122.912940,145,https://api.translink.ca/rttiapi/v1/stops/51861?apikey=UZ8AVBpGYUDC0kUB58zj
51863,SFU TRANSPORTATION CENTRE BAY 1 ,BURNABY,1  ,SFU TRANSPORTATION CENTRE,BAY 1,49.279957,-122.920119,143;144;145;N35;R5,https://api.translink.ca/rttiapi/v1/stops/51863?apikey=UZ8AVBpGYUDC0kUB58zj
52094,COMMERCIAL-BROADWAY STN BAY 4,VANCOUVER,4,COMMERCIAL-BROADWAY STN,BAY 4,49.262426,-123.069432,009;N9,https://api.translink.ca/rttiapi/v1/stops/52094?apikey=UZ8AVBpGYUDC0kUB58zj
52101,EB E BROADWAY FS MAIN ST,VANCOUVER,N,E BROADWAY,MAIN ST,49.262801,-123.100420,,https://api.translink.ca/rttiapi/v1/stops/52101?apikey=UZ8AVBpGYUDC0kUB58zj
52186,WB MARINE DR AT 14 AVE,BURNABY,N,MARINE DR,14 AVE,49.203290,-122.964735,100,https://api.translink.ca/rttiapi/v1/stops/52186?apikey=UZ8AVBpGYUDC0kUB58zj
52230,22ND STREET STN BAY 4,NEW WESTMINSTER,4  ,22ND STREET STATION,BAY 4,49.199857,-122.949097,410,https://api.translink.ca/rttiapi/v1/stops/52230?apikey=UZ8AVBpGYUDC0kUB58zj
52369,WB WESTMINSTER HWY FS WILLETT AVE,RICHMOND,N,WESTMINSTER HWY,WILLETT AVE,49.179336,-122.967300,410;418,https://api.translink.ca/rttiapi/v1/stops/52369?apikey=UZ8AVBpGYUDC0kUB58zj
52712,EB W HASTINGS ST NS ABBOTT ST,VANCOUVER,N,W HASTINGS ST,ABBOTT ST,49.282214,-123.108834,R5,https://api.translink.ca/rttiapi/v1/stops/52712?apikey=UZ8AVBpGYUDC0kUB58zj
52717,KOOTENAY LOOP BAY 7,VANCOUVER,7  ,KOOTENAY LOOP,BAY 7,49.281204,-123.025393,160;N35;R5,https://api.translink.ca/rttiapi/v1/stops/52717?apikey=UZ8AVBpGYUDC0kUB58zj
52718,WB E HASTINGS ST NS RENFREW ST,VANCOUVER,N,E HASTINGS ST,RENFREW ST,49.281222,-123.043342,014,https://api.translink.ca/rttiapi/v1/stops/52718?apikey=UZ8AVBpGYUDC0kUB58zj
52720,NB GILMORE WAY FS SANDERSON WAY,BURNABY,N,GILMORE WAY,SANDERSON WAY,49.250056,-123.010288,129,https://api.translink.ca/rttiapi/v1/stops/52720?apikey=UZ8AVBpGYUDC0kUB58zj
52806,SFU TRANSPORTATION CENTRE BAY 2,BURNABY,2  ,SFU TRANSPORTATION CENTRE,BAY 2,49.279954,-122.919905,143;144;145;N35;R5,https://api.translink.ca/rttiapi/v1/stops/52806?apikey=UZ8AVBpGYUDC0kUB58zj
52998,SFU TRANSIT EXCHANGE BAY 4,BURNABY,4  ,SFU TRANSIT EXCHANGE,BAY 4,49.278447,-122.912574,143,https://api.translink.ca/rttiapi/v1/stops/52998?apikey=UZ8AVBpGYUDC0kUB58zj
53096,SFU TRANSIT EXCHANGE BAY 2,BURNABY,2  ,SFU TRANSIT EXCHANGE,BAY 2,49.278484,-122.912790,N35;R5,https://api.translink.ca/rttiapi/v1/stops/53096?apikey=UZ8AVBpGYUDC0kUB58zj
53312,BURRARD STN BAY 6 NEW,VANCOUVER,6,BURRARD STN,BAY 6,49.286160,-123.118293,R5,https://api.translink.ca/rttiapi/v1/stops/53312?apikey=UZ8AVBpGYUDC0kUB58zj
56421,STEVESTON EXCHANGE BAY 2,RICHMOND,2,STEVESTON EXCHANGE,BAY 2,49.126357,-123.183610,401;402;413,https://api.translink.ca/rttiapi/v1/stops/56421?apikey=UZ8AVBpGYUDC0kUB58zj
56422,NB NO. 1 RD FS CHATHAM ST,RICHMOND,N,NO 1 RD,CHATHAM ST,49.126861,-123.181116,401;402;413,https://api.translink.ca/rttiapi/v1/stops/56422?apikey=UZ8AVBpGYUDC0kUB58zj
56450,SB NO. 3 RD FS WESTMINSTER HWY,RICHMOND,N,NO 3 RD,WESTMINSTER HWY,49.169765,-123.136665,403;405;410;N10,https://api.translink.ca/rttiapi/v1/stops/56450?apikey=UZ8AVBpGYUDC0kUB58zj
56451,EB COOK RD FS NO. 3 RD,RICHMOND,N,COOK RD,NO 3 RD,49.166453,-123.135795,405;407;408,https://api.translink.ca/rttiapi/v1/stops/56451?apikey=UZ8AVBpGYUDC0kUB58zj
56453,NB NO. 3 RD FS ACKROYD RD,RICHMOND,N,NO 3 RD,ACKROYD RD,49.172370,-123.136488,403;405;410;416;N10,https://api.translink.ca/rttiapi/v1/stops/56453?apikey=UZ8AVBpGYUDC0kUB58zj
56480,RICHMOND-BRIGHOUSE STN BAY 5,RICHMOND,5,RICHMOND-BRIGHOUSE STN,BAY 5,49.166575,-123.135287,,https://api.translink.ca/rttiapi/v1/stops/56480?apikey=UZ8AVBpGYUDC0kUB58zj
56483,WB WESTMINSTER HWY FS ALDERBRIDGE WAY ,RICHMOND,N,WESTMINSTER HWY,ALDERBRIDGE WAY,49.170277,-123.145078,401,https://api.translink.ca/rttiapi/v1/stops/56483?apikey=UZ8AVBpGYUDC0kUB58zj
56514,SB NO. 1 RD FS GEORGIA ST,RICHMOND,N,NO 1 RD,GEORGIA ST,49.129951,-123.181369,401;406;407,https://api.translink.ca/rttiapi/v1/stops/56514?apikey=UZ8AVBpGYUDC0kUB58zj
56516,SB NO. 1 RD FS BROADWAY ST,RICHMOND,N,NO 1 RD,BROADWAY ST,49.127034,-123.181327,401;406;407,https://api.translink.ca/rttiapi/v1/stops/56516?apikey=UZ8AVBpGYUDC0kUB58zj
56517,STEVESTON EXCHANGE BAY 3,RICHMOND,3,STEVESTON EXCHANGE,BAY 3,49.126496,-123.184059,406;407,https://api.translink.ca/rttiapi/v1/stops/56517?apikey=UZ8AVBpGYUDC0kUB58zj
56518,EB MONCTON ST FS NO. 1 RD,RICHMOND,N,MONCTON ST,NO 1 RD,49.125117,-123.180317,402;413,https://api.translink.ca/rttiapi/v1/stops/56518?apikey=UZ8AVBpGYUDC0kUB58zj
56519,EB MONCTON ST AT 4300 BLOCK,RICHMOND,N,MONCTON ST,4300 BLOCK,49.125098,-123.177225,402;413,https://api.translink.ca/rttiapi/v1/stops/56519?apikey=UZ8AVBpGYUDC0kUB58zj
56520,EB MONCTON ST FS PHOENIX DR,RICHMOND,N,MONCTON ST,PHOENIX DR,49.125081,-123.172260,402;413,https://api.translink.ca/rttiapi/v1/stops/56520?apikey=UZ8AVBpGYUDC0kUB58zj
56521,EB MONCTON ST FS RAILWAY AVE,RICHMOND,N,MONCTON ST,RAILWAY AVE,49.125066,-123.169304,402,https://api.translink.ca/rttiapi/v1/stops/56521?apikey=UZ8AVBpGYUDC0kUB58zj
56522,EB MONCTON ST FS TRITES RD,RICHMOND,N,MONCTON ST,TRITES RD,49.124983,-123.163912,402,https://api.translink.ca/rttiapi/v1/stops/56522?apikey=UZ8AVBpGYUDC0kUB58zj
56530,NB NO. 2 RD FS WOODWARDS RD,RICHMOND,N,NO 2 RD,WOODWARDS RD,49.144158,-123.158844,402,https://api.translink.ca/rttiapi/v1/stops/56530?apikey=UZ8AVBpGYUDC0kUB58zj
56531,NB NO. 2 RD FS MAPLE RD,RICHMOND,N,NO 2 RD,MAPLE RD,49.147058,-123.158842,402,https://api.translink.ca/rttiapi/v1/stops/56531?apikey=UZ8AVBpGYUDC0kUB58zj
56535,EB BLUNDELL RD FS NO. 2 RD       ,RICHMOND,N,BLUNDELL RD,NO 2 RD,49.155495,-123.158392,402,https://api.translink.ca/rttiapi/v1/stops/56535?apikey=UZ8AVBpGYUDC0kUB58zj
56549,SB NO. 3 RD FS COOK RD,RICHMOND,7,NO 3 RD,COOK RD,49.165710,-123.136714,402;403;404;406;410,https://api.translink.ca/rttiapi/v1/stops/56549?apikey=UZ8AVBpGYUDC0kUB58zj
56564,ABERDEEN STN BAY 2,RICHMOND,2,ABERDEEN STN,BAY 2,49.183998,-123.136731,403;410;N10,https://api.translink.ca/rttiapi/v1/stops/56564?apikey=UZ8AVBpGYUDC0kUB58zj
56567,SB NO. 3 RD FS ALDERBRIDGE WAY,RICHMOND,N,NO 3 RD,ALDERBRIDGE WAY,49.176886,-123.136777,403;410;N10,https://api.translink.ca/rttiapi/v1/stops/56567?apikey=UZ8AVBpGYUDC0kUB58zj
56570,SB NO. 3 RD NS GRANVILLE AVE,RICHMOND,N,NO 3 RD,GRANVILLE AVE,49.163197,-123.136701,402;403;406;414,https://api.translink.ca/rttiapi/v1/stops/56570?apikey=UZ8AVBpGYUDC0kUB58zj
56579,WB BLUNDELL RD FS CHEVIOT PL    ,RICHMOND,N,BLUNDELL RD,CHEVIOT PL,49.155654,-123.156753,402,https://api.translink.ca/rttiapi/v1/stops/56579?apikey=UZ8AVBpGYUDC0kUB58zj
56599,EB HORSESHOE WAY NS NO. 5 RD     ,RICHMOND,N,HORSESHOE WAY,NO 5 RD,49.130495,-123.093598,408,https://api.translink.ca/rttiapi/v1/stops/56599?apikey=UZ8AVBpGYUDC0kUB58zj
56689,RICHMOND-BRIGHOUSE STN BAY 3,RICHMOND,3 ,RICHMOND-BRIGHOUSE STN,BAY 3,49.168108,-123.136374,401;407;416;430,https://api.translink.ca/rttiapi/v1/stops/56689?apikey=UZ8AVBpGYUDC0kUB58zj
56713,WB MACHRINA WAY FS NO. 5 RD      ,RICHMOND,N,MACHRINA WAY,NO 5 RD,49.124332,-123.092898,405,https://api.translink.ca/rttiapi/v1/stops/56713?apikey=UZ8AVBpGYUDC0kUB58zj
56731,WB CHATHAM ST FS 5 AVE,RICHMOND,N,CHATHAM ST,5 AVE,49.126500,-123.189251,406,https://api.translink.ca/rttiapi/v1/stops/56731?apikey=UZ8AVBpGYUDC0kUB58zj
56732,NB 7 AVE FS CHATHAM ST,RICHMOND,N,7 AVE,CHATHAM ST,49.126844,-123.191741,406,https://api.translink.ca/rttiapi/v1/stops/56732?apikey=UZ8AVBpGYUDC0kUB58zj
56733,NB 7 AVE FS RICHMOND ST,RICHMOND,N,7 AVE,RICHMOND ST,49.128624,-123.191727,406,https://api.translink.ca/rttiapi/v1/stops/56733?apikey=UZ8AVBpGYUDC0kUB58zj
56734,NB 7 AVE NS REGENT ST,RICHMOND,N,7 AVE,REGENT ST,49.131834,-123.191727,406,https://api.translink.ca/rttiapi/v1/stops/56734?apikey=UZ8AVBpGYUDC0kUB58zj
56748,NB SPRINGMONT GATE FS STEVESTON HWY,RICHMOND,N,SPRINGMONT GATE,STEVESTON HWY,49.134063,-123.191743,406,https://api.translink.ca/rttiapi/v1/stops/56748?apikey=UZ8AVBpGYUDC0kUB58zj
56749,NB SPRINGMONT DR FS SPRINGMONT GATE,RICHMOND,N,SPRINGMONT DR,SPRINGMONT GATE,49.135962,-123.191846,406,https://api.translink.ca/rttiapi/v1/stops/56749?apikey=UZ8AVBpGYUDC0kUB58zj
56752,EB WILLIAMS RD FS SPRINGMONT DR ,RICHMOND,N,WILLIAMS RD,SPRINGMONT DR,49.140962,-123.190977,406,https://api.translink.ca/rttiapi/v1/stops/56752?apikey=UZ8AVBpGYUDC0kUB58zj
56755,EB WILLIAMS RD FS NO. 1 RD       ,RICHMOND,N,WILLIAMS RD,NO 1 RD,49.140970,-123.180386,406,https://api.translink.ca/rttiapi/v1/stops/56755?apikey=UZ8AVBpGYUDC0kUB58zj
56758,NB RAILWAY AVE FS WILLIAMS RD,RICHMOND,N,RAILWAY AVE,WILLIAMS RD,49.141765,-123.169716,406,https://api.translink.ca/rttiapi/v1/stops/56758?apikey=UZ8AVBpGYUDC0kUB58zj
56759,NB RAILWAY AVE FS WOODWARDS RD,RICHMOND,N,RAILWAY AVE,WOODWARDS RD,49.144203,-123.169711,406,https://api.translink.ca/rttiapi/v1/stops/56759?apikey=UZ8AVBpGYUDC0kUB58zj
56760,NB RAILWAY AVE FS MAPLE RD,RICHMOND,N,RAILWAY AVE,MAPLE RD,49.147120,-123.169713,406,https://api.translink.ca/rttiapi/v1/stops/56760?apikey=UZ8AVBpGYUDC0kUB58zj
56770,EB GRANVILLE AVE FS NO. 2 RD,RICHMOND,N,GRANVILLE AVE,NO 2 RD,49.162602,-123.158269,406,https://api.translink.ca/rttiapi/v1/stops/56770?apikey=UZ8AVBpGYUDC0kUB58zj
56776,WB GRANVILLE AVE FS MINORU BLVD,RICHMOND,N,GRANVILLE AVE,MINORU BLVD,49.162847,-123.140851,406,https://api.translink.ca/rttiapi/v1/stops/56776?apikey=UZ8AVBpGYUDC0kUB58zj
56777,WB GRANVILLE AVE FS MINORU GATE,RICHMOND,N,GRANVILLE AVE,MINORU GATE,49.162848,-123.143492,,https://api.translink.ca/rttiapi/v1/stops/56777?apikey=UZ8AVBpGYUDC0kUB58zj
56791,SB RAILWAY AVE FS WOODWARDS RD,RICHMOND,N,RAILWAY AVE,WOODWARDS RD,49.143521,-123.169889,406,https://api.translink.ca/rttiapi/v1/stops/56791?apikey=UZ8AVBpGYUDC0kUB58zj
56792,WB WILLIAMS RD FS FORTUNE AVE,RICHMOND,N,WILLIAMS RD,FORTUNE AVE,49.141107,-123.176753,406,https://api.translink.ca/rttiapi/v1/stops/56792?apikey=UZ8AVBpGYUDC0kUB58zj
56793,WB WILLIAMS RD NS NO. 1 RD       ,RICHMOND,N,WILLIAMS RD,NO 1 RD,49.141110,-123.180723,406,https://api.translink.ca/rttiapi/v1/stops/56793?apikey=UZ8AVBpGYUDC0kUB58zj
56803,NB 4 AVE FS CHATHAM ST,RICHMOND,N,4 AVE,CHATHAM ST,49.126985,-123.187096,406;407,https://api.translink.ca/rttiapi/v1/stops/56803?apikey=UZ8AVBpGYUDC0kUB58zj
56849,WB HORSESHOE WAY FS NO. 5 RD      ,RICHMOND,N,HORSESHOE WAY,NO 5 RD,49.131088,-123.093785,408,https://api.translink.ca/rttiapi/v1/stops/56849?apikey=UZ8AVBpGYUDC0kUB58zj
56897,SB NO. 6 RD FS MAYCREST WAY,RICHMOND,N,NO 6 RD,MAYCREST WAY,49.179232,-123.069263,410;416,https://api.translink.ca/rttiapi/v1/stops/56897?apikey=UZ8AVBpGYUDC0kUB58zj
56898,NB NO. 6 RD FS SPARWOOD PL,RICHMOND,N,NO 6 RD,SPARWOOD PL,49.170783,-123.069082,410,https://api.translink.ca/rttiapi/v1/stops/56898?apikey=UZ8AVBpGYUDC0kUB58zj
56899,NB NO. 6 RD FS INTERNATIONAL PL  ,RICHMOND,N,NO 6 RD,INTERNATIONAL PL,49.174123,-123.069105,410,https://api.translink.ca/rttiapi/v1/stops/56899?apikey=UZ8AVBpGYUDC0kUB58zj
56919,22ND STREET STN BAY 7          ,NEW WESTMINSTER,7  ,22ND STREET STATION,BAY 7,49.199633,-122.949901,128;155,https://api.translink.ca/rttiapi/v1/stops/56919?apikey=UZ8AVBpGYUDC0kUB58zj
56923,NB NO. 6 RD FS MAYCREST WAY,RICHMOND,N,NO 6 RD,MAYCREST WAY,49.179886,-123.069059,410;416,https://api.translink.ca/rttiapi/v1/stops/56923?apikey=UZ8AVBpGYUDC0kUB58zj
56927,WB CAMBIE RD FS JACOMBS RD        ,RICHMOND,N,CAMBIE RD,JACOMBS RD,49.184628,-123.080850,405;407;410,https://api.translink.ca/rttiapi/v1/stops/56927?apikey=UZ8AVBpGYUDC0kUB58zj
56958,NB OFFRAMP KNIGHT ST BRIDGE NS SE MARINE DR,VANCOUVER,N,KNIGHT ST BRIDGE OFFRAMP,SE MARINE DR,49.210846,-123.075497,405;407,https://api.translink.ca/rttiapi/v1/stops/56958?apikey=UZ8AVBpGYUDC0kUB58zj
58045,WB STEVESTON HWY FS SEAWARD GATE,RICHMOND,N,STEVESTON HWY,SEAWARD GATE,49.133464,-123.100078,403;404;413,https://api.translink.ca/rttiapi/v1/stops/58045?apikey=UZ8AVBpGYUDC0kUB58zj
58069,NB NO. 3 RD NS PARK RD,RICHMOND,N,NO 3 RD,PARK RD,49.164174,-123.136423,402;403;404;406;410;414;416,https://api.translink.ca/rttiapi/v1/stops/58069?apikey=UZ8AVBpGYUDC0kUB58zj
58143,KOOTENAY LOOP BAY 8,VANCOUVER,8  ,KOOTENAY LOOP,BAY 8,49.281026,-123.024952,028;130;222;N35;R5,https://api.translink.ca/rttiapi/v1/stops/58143?apikey=UZ8AVBpGYUDC0kUB58zj
58153,EB STEVESTON HWY NS HWY 99,RICHMOND,N,STEVESTON HWY,HIGHWAY 99,49.133342,-123.087853,403;404;408;413,https://api.translink.ca/rttiapi/v1/stops/58153?apikey=UZ8AVBpGYUDC0kUB58zj
58154,SB NO. 3 RD FS BROWNGATE RD,RICHMOND,N,NO 3 RD,BROWNGATE RD,49.182379,-123.136778,403;410;N10,https://api.translink.ca/rttiapi/v1/stops/58154?apikey=UZ8AVBpGYUDC0kUB58zj
58195,WB WILLIAMS RD FS GEAL RD,RICHMOND,N,WILLIAMS RD,GEAL RD,49.141096,-123.170797,406,https://api.translink.ca/rttiapi/v1/stops/58195?apikey=UZ8AVBpGYUDC0kUB58zj
58253,EB ANDERSON RD NS BUSWELL ST,RICHMOND,N,ANDERSON RD,BUSWELL ST,49.163406,-123.134015,416,https://api.translink.ca/rttiapi/v1/stops/58253?apikey=UZ8AVBpGYUDC0kUB58zj
58321,SB HOWE ST FS DUNSMUIR ST BAY 4,VANCOUVER,4,HOWE ST,DUNSMUIR ST,49.284055,-123.117880,007;010;014;050,https://api.translink.ca/rttiapi/v1/stops/58321?apikey=UZ8AVBpGYUDC0kUB58zj
58323,SB NO. 3 RD NS GENERAL CURRIE RD,RICHMOND,N,NO 3 RD,GENERAL CURRIE RD,49.159509,-123.136699,402;403,https://api.translink.ca/rttiapi/v1/stops/58323?apikey=UZ8AVBpGYUDC0kUB58zj
58393,WB HASTINGS ST FS DUTHIE AVE,BURNABY,N,HASTINGS ST,DUTHIE AVE,49.280475,-122.954024,N35;R5,https://api.translink.ca/rttiapi/v1/stops/58393?apikey=UZ8AVBpGYUDC0kUB58zj
58624,RICHMOND-BRIGHOUSE STN BAY 5,RICHMOND,5,RICHMOND-BRIGHOUSE STN,BAY 5,49.168435,-123.136682,403;405;407;410,https://api.translink.ca/rttiapi/v1/stops/58624?apikey=UZ8AVBpGYUDC0kUB58zj
59044,SB TOWER RD FS UNIVERSITY HIGH ST,BURNABY,N,TOWER RD,UNIVERSITY HIGH ST,49.277133,-122.909375,143;144;145;N35,https://api.translink.ca/rttiapi/v1/stops/59044?apikey=UZ8AVBpGYUDC0kUB58zj
59069,SB RAILWAY AVE FS WILLIAMS RD,RICHMOND,N,RAILWAY AVE,WILLIAMS RD,49.140643,-123.169902,413,https://api.translink.ca/rttiapi/v1/stops/59069?apikey=UZ8AVBpGYUDC0kUB58zj
59121,EB STEVESTON HWY FS TRIMARAN GATE,RICHMOND,N,STEVESTON HWY,TRIMARAN GATE,49.133671,-123.172993,407,https://api.translink.ca/rttiapi/v1/stops/59121?apikey=UZ8AVBpGYUDC0kUB58zj
59314,PRODUCTION STATION BAY 1,BURNABY,1,PRODUCTION WAY STATION LOOP,BAY 1,49.253683,-122.918013,145,https://api.translink.ca/rttiapi/v1/stops/59314?apikey=UZ8AVBpGYUDC0kUB58zj
59334,WB JACK BELL DR FS JACOMBS RD,RICHMOND,N,JACK BELL DR,JACOMBS RD,49.182422,-123.080727,416,https://api.translink.ca/rttiapi/v1/stops/59334?apikey=UZ8AVBpGYUDC0kUB58zj
59338,NB COMMERCE PARKWAY FS INTERNATIONAL PL,RICHMOND,N,COMMERCE PARKWAY,INTERNATIONAL PL,49.174135,-123.071653,416,https://api.translink.ca/rttiapi/v1/stops/59338?apikey=UZ8AVBpGYUDC0kUB58zj
59731,EB PARK RD NS BUSWELL ST,RICHMOND,N,PARK RD,BUSWELL ST,49.164647,-123.134884,,https://api.translink.ca/rttiapi/v1/stops/59731?apikey=UZ8AVBpGYUDC0kUB58zj
59771,LANSDOWNE STN BAY 4,RICHMOND,4,LANSDOWNE STN,BAY 4,49.172869,-123.136815,403;405;410;416;N10,https://api.translink.ca/rttiapi/v1/stops/59771?apikey=UZ8AVBpGYUDC0kUB58zj
60333,EB ACKROYD RD FS NO. 3 RD-,RICHMOND,N,ACKROYD RD,NO 3 RD,49.171943,-123.135154,,https://api.translink.ca/rttiapi/v1/stops/60333?apikey=UZ8AVBpGYUDC0kUB58zj
60432,RICHMOND-BRIGHOUSE STN BAY 4A,RICHMOND,4A,RICHMOND-BRIGHOUSE STN,BAY 4A,49.169210,-123.136683,,https://api.translink.ca/rttiapi/v1/stops/60432?apikey=UZ8AVBpGYUDC0kUB58zj
60483,RICHMOND-BRIGHOUSE STN BAY 1,RICHMOND,1,RICHMOND-BRIGHOUSE STN,BAY 1 ,49.167722,-123.136073,402;404;406;408;414;N10,https://api.translink.ca/rttiapi/v1/stops/60483?apikey=UZ8AVBpGYUDC0kUB58zj
60535,BROADWAY-CITY HALL STN BAY 1,VANCOUVER,N,BROADWAY-CITY HALL STN,BAY 1,49.263131,-123.116003,099;N9,https://api.translink.ca/rttiapi/v1/stops/60535?apikey=UZ8AVBpGYUDC0kUB58zj
61321,BRIDGEPORT STN BAY 1 UNLOADING ONLY,RICHMOND,1,BRIDGEPORT STATION,BAY 1 UNLOADING ONLY,49.195515,-123.125911,,https://api.translink.ca/rttiapi/v1/stops/61321?apikey=UZ8AVBpGYUDC0kUB58zj
61323,BRIDGEPORT STN BAY 3,RICHMOND,3,BRIDGEPORT STATION,BAY 3,49.195229,-123.126551,403;N10,https://api.translink.ca/rttiapi/v1/stops/61323?apikey=UZ8AVBpGYUDC0kUB58zj
61334,RICHMOND-BRIGHOUSE STN BAY 4,RICHMOND,4,RICHMOND-BRIGHOUSE STN,BAY 4,49.168512,-123.136367,403;405;410,https://api.translink.ca/rttiapi/v1/stops/61334?apikey=UZ8AVBpGYUDC0kUB58zj
61438,WB WESTMINSTER HWY FS KARTNER RD,RICHMOND,N,WESTMINSTER HWY,KARTNER RD,49.169937,-123.035897,410,https://api.translink.ca/rttiapi/v1/stops/61438?apikey=UZ8AVBpGYUDC0kUB58zj
61803,BRENTWOOD STN BAY 3,BURNABY,3,BRENTWOOD STN,BAY 3,49.266221,-122.999770,136;N9,https://api.translink.ca/rttiapi/v1/stops/61803?apikey=UZ8AVBpGYUDC0kUB58zj
