Artist,Album,Genre
A-Sides Club,Guns N' Roses,Singer & Songwriter
ACDC,Back In Black,Rock
ACDC,Rock or Bust,Rock
ACDC,The Razors edge,Rock
Adaline,Dear Illusion,Pop
Allie X,CollXtion I,Pop
Allie X,CollXtion II,Synthpop
Andy Shauf,The Party,Alternative
Arcade Fire,Funeral,Alternative
AWOLNATION,Megalithic Symphony Deluxe,Alternative; Rock
Beck,Guero,Rock
BigRicePiano,Memories in a Box,Piano
BigRicePiano,Piano Collection 1,Piano
BigRicePiano,Piano Collection 2,Piano
BigRicePiano,Stories in the Rain,Piano
BigRicePiano,The Silent City (Chapter I),Piano
Billie Eilish,Don't Smile at Me,Alternative
Billie Eilish,everything i wanted,Alternative
Billie Eilish,When We All Fall Asleep Where Do We Go,Pop
Boston,Boston,Rock
BØRNS,Dopamine,Pop
Bülow,Crystalline,Pop
Caro Emerald,Deleted Scenes From The Cutting Room Floor,Pop
Caro Emerald,Emerald Island EP,Pop
Caro Emerald,The Shocking Miss Emerald,Jazz; Pop;Jazz
Cashmere Cat,Mirror Maru,Electronic
Coldplay,A Head Full of Dreams,Alternative
Coldplay,Everyday Life,Alternative
Coldplay,Viva La Vida,Rock
Coldplay,X&Y,Rock
Cuco,Wannabewithu,Rock
Daya,Sit Still Look Pretty,Pop
Digitalism,I Love You Dude,Electro
DJ Fresh,Kryptonite,Electro; Dance
Doja Cat,Hot Pink,R&B
Eden,Silk,Electronic
Feist,The Reminder,Pop
Florence + The Machine,Ceremonials,Pop
Florence + The Machine,Lungs,Pop
Flume,Flume,Electronic
Flume,Skin,Electronic
Foster the People,Torches,Pop
fun.,Some Nights,Alternative
Garbage,Version 2.0,Rock
Glaspy,Emotions & Math,Alternative
Goldfish,Get busy living,Pop
Gorillaz,Demon Days,Rap & Hip-Hop
Gorillaz,Plastic Beach,Rap & Hip-Hop
Guns N' Roses,Appetite For Destruction,Rock
Guns N' Roses,Chinese Democracy,Rock
Guns N' Roses,Greatest Hits,Rock
Imagine Dragons,Evolve,Alternative
Imagine Dragons,Night Visions,Pop
Imagine Dragons,Origins (Deluxe),Alternative
Imagine Dragons,Smoke + Mirrors (Deluxe),Alternative
Inzo,EP,Dance;Electro; Dance; Rap/Hip Hop
Inzo,Multiverse,Electro
Jack Stauber,Pop Food,Pop
Jason Mraz,We Sing. We Dance. We Steal Things,Pop
Joji,Ballads 1,R&B
Joji,In Tongues,R&B
Joji,Nectar,Alternative; Pop
Jónsi,Go Do,Alternative; Rock; Indie Rock/Rock Pop
Kimbra,Primal Heart,Pop
Kimbra,The Golden Echo,Pop
Kimbra,Vows,Pop
Kina,Elements,Pop
Kino,Bloom,Ambient
Knife Party,Rage Valley,Dance
Led Zeppelin,Led Zeppelin x Led Zeppelin,Rock
London Philharmonic Orchestra,Symphonic Led Zeppelin,Classical
Lorde,Pure Heroine,Pop
M83,Hurry Up We're Dreaming,Alternative
Mac Quayle,Mr. Robot,Soundtrack
Magic Sword,Volume 1,Electro
Martin Solveig,Smash (Deluxe),Dance
MGMT,Oracular Spectacular,Alternative
Mikel,Zelda & Chill,Electronic
OST,Armello,Soundtrack
OST,Bastion,Soundtrack
OST,Dark Souls III,Soundtrack
OST,Death Stranding,Soundtrack
OST,Devil May Cry 5,Soundtrack
OST,Eureka seveN,Soundtrack
OST,Eureka seveN,Soundtrack
OST,Gravity Daze,Soundtrack
OST,Gravity Daze 2,Soundtrack
OST,Guardians of the Galaxy Soundtrack,Soundtrack
OST,Hades,Soundtrack
OST,Halo Reach,Soundtrack
OST,Her,Soundtrack
OST,Inception,Soundtrack
OST,Interstellar,Soundtrack
OST,Journey,Soundtrack
OST,Kingdom Hearts,Soundtrack
OST,Mirror's Edge,Soundtrack
OST,Mirror's Edge Catalyst,Soundtrack
OST,NieR Automata,Soundtrack
OST,NieR Automata Arranged & Unreleased Tracks,Soundtrack
OST,NieR Gestalt & Replicant,Soundtrack
OST,Pyre,Soundtrack
OST,Songs From Final Fantasy XV,Soundtrack
OST,Tenet,Soundtrack
OST,The Man From U.N.C.L.E,Soundtrack
OST,Transistor,Soundtrack
OST,Transistor Extended,Soundtrack
OST,Witcher 3,Soundtrack
Owsey,Dreamless Wave,Ambient
P!nk,Beautiful Trauma,Pop
P!nk,Greatest Hits,Pop
P!nk,Hurts 2B Human,Pop
P!nk,The Truth About Love,Pop
Passion Pit,Gossamer,Alternative
Passion Pit,Manners,Alternative
Point Break Candy,Hole In The Sun,Films/Games; Film Scores
Porter Robinson,Spitfire EP,Dance;Electronic
Porter Robinson,Worlds,Electronic
Porter Robinson,Worlds (Remixed),Electronic
ProleteR,Feedin The Lions,Electronic
Red Hot Chili Peppers,By the Way,Alternative
Ronald,Red Lemonade,Electronic
Sophie Meiers,EP,R&B
Surf Mesa,ily,Dance
The Asteroids Galaxy Tour,Fruit,Alternative
The Black Keys,Attack & Release,Rock
The Black Keys,Brothers,Rock
The Black keys,El Camino,Rock
The Black Keys,Let's Rock,Rock
The Black Keys,Turn Blue,Rock
The Glitch Mob,Chemicals,Electro; Dance
The Glitch Mob,Drink the Sea,Electro
The Glitch Mob,Love Death Immortality,Electro
The Glitch Mob,Love Death Immortality (Remixes),Electro
The Glitch Mob,See Without Eyes (Deluxe),Electro
The Glitch Mob,We Can Make the World Stop,Electro
The Go! Team,Thunder Lightning Strike,Alternative; Pop; Rock; Indie Rock/Rock Pop
The Prodigy,Invaders Must Die,Electro
The Smashing Pumpkins,Siamese Dream (Deluxe Edition),Rock
Tyler The Creator,Flower Boy,Rap/Hip Hop
Tyler The Creator,IGOR,Rap/Hip Hop
Winter Aid,The Wisp Sings,R&B
Woodkid,The Golden Age,Alternative
Yas,empty crown,Electro
Yeah Yeah Yeahs,Fever To Tell,Alternative
Yeah Yeah Yeahs,It's Blitz!,Alternative
Yeah Yeah Yeahs,Mosquito,Alternative
Yeah Yeah Yeahs,Show your bones,Rock
