2014 Fall 
	CMPT 128	3.0	C+	6.99
	ENSC 100W	3.0	A	12.00
	ENSC 105W	3.0	A	12.00
	ENSC 120	1.0	A	4.00
	MATH 151	3.0	B	9.00
	PHYS 120	3.0	B-	8.01
2015 Spring 
	CHEM 121	4.0	B-	10.68
	ENSC 180	3.0	A-	11.01
	MATH 152	3.0	C-	5.01
	MATH 232	3.0	B-	8.01
	PHYS 121	3.0	B	9.00
2015 Summer 
	MATH 251	3.0	B-	8.01
	MATH 310	3.0	B-	8.01
2015 Fall 
	ENSC 204	1.0	A-	3.67
	ENSC 220	4.0	B+	13.32
	ENSC 251	4.0	B+	13.32
	ENSC 252	4.0	B-	10.68
2016 Spring 
	CMPT 225	3.0	B-	8.01
	ECON 103	4.0	C+	9.32
	IAT 210	3.0	B+	9.99
	MACM 316	3.0	B-	8.01
2016 Summer 
	ENSC 254	4.0	A-	14.68
	ENSC 280	4.0	B-	10.68
	ENSC 320	4.0	C-	6.68
2016 Fall 
	ENSC 196	3.0	P	0.00
2017 Spring 
	ENSC 296	3.0	P	0.00
2017 Summer 
	EDUC 230	3.0	B	9.00
	ENSC 225	4.0	A+	17.32
2017 Fall 
	CMPT 275	4.0	B+	13.32
	ENSC 324	3.0	C+	6.99
	ENSC 351	4.0	B+	13.32
	ENSC 380	3.0	B	9.00
2018 Spring 
	CMPT 300	3.0	B+	9.99
	ENSC 327	4.0	B+	13.32
	ENSC 350	4.0	B	12.00
	MACM 201	3.0	C+	6.99
2018 Summer 
	CMPT 363	3.0	A	12.00
	ENSC 406	2.0	B+	6.66
	ENSC 429	4.0	B	12.00
2018 Fall 
	ENSC 395	3.0	P	0.00
2019 Spring 
	ENSC 195	3.0	P	0.00
2019 Summer 
	BPK 110	3.0	B-	8.01
	CMPT 354	3.0	B	9.00
	ENSC 405W	3.0	A	12.00
2019 Fall 
	CMPT 454	3.0	B	9.00
	ENSC 440	3.0	A+	12.99
2020 Spring 
	ENSC 410	3.0	A-	11.01
	ENSC 450	4.0	B+	13.32
2020 Summer 
	CMPT 459	3.0	*	0.00
2020 Fall 
